# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.set.duration,1778595396594000000,1778595410205000000,12
cacheStateStorage.get.duration,1778595396594000000,1778595410205000000,43
cacheStateStorage.set.counter,1778595396594000000,1778595410205000000,3
cacheStateStorage.get.counter,1778595396594000000,1778595410205000000,20
MEM.ramBytes,1778595396594000000,1778595410205000000,1707622400
JVM.totalSafepointCount,1778595396594000000,1778595410205000000,463
OS.loadAverage,1778595396594000000,1778595410205000000,3.15234375
MEM.fileMappingsRamBytes,1778595396594000000,1778595410205000000,409665536
JVM.usedNativeBytes,1778595396594000000,1778595410205000000,382111664
JVM.totalBytesAllocated,1778595396594000000,1778595410205000000,2133557712
JVM.maxThreadCount,1778595396594000000,1778595410205000000,127
JVM.maxHeapBytes,1778595396594000000,1778595410205000000,2147483648
JVM.newThreadsCount,1778595396594000000,1778595410205000000,132
JVM.totalTimeToSafepointsMs,1778595396594000000,1778595410205000000,53
JVM.usedHeapBytes,1778595396594000000,1778595410205000000,332398592
MEM.ramPlusSwapMinusFileMappingsBytes,1778595396594000000,1778595410205000000,1661767496
MEM.ramMinusFileMappingsBytes,1778595396594000000,1778595410205000000,1297924096
JVM.GC.collectionTimesMs,1778595396594000000,1778595410205000000,148
JVM.committedHeapBytes,1778595396594000000,1778595410205000000,702545920
JVM.GC.collections,1778595396594000000,1778595410205000000,37
JVM.totalTimeAtSafepointsMs,1778595396594000000,1778595410205000000,159
JVM.totalDirectByteBuffersBytes,1778595396594000000,1778595410205000000,50612976
JVM.threadCount,1778595396594000000,1778595410205000000,125
JVM.totalCpuTimeMs,1778595396594000000,1778595410205000000,23999
parser.JAVA.time.ns,1778595396594000000,1778595410205000000,37506418
DiskQueryRelay.taskExecutionTotalTimeUs,1778595396594000000,1778595410205000000,202824
writeAction.max.wait.ms,1778595396594000000,1778595410205000000,5
writeAction.wait.ms,1778595396594000000,1778595410205000000,7
lexer.JAVA.time.ns,1778595396594000000,1778595410205000000,10922168
DiskQueryRelay.tasksExecuted,1778595396594000000,1778595410205000000,249
DiskQueryRelay.taskWaitingTotalTimeUs,1778595396594000000,1778595410205000000,610916
lexer.JAVA.size.bytes,1778595396594000000,1778595410205000000,8006
writeAction.median.wait.ms,1778595396594000000,1778595410205000000,0
writeAction.count,1778595396594000000,1778595410205000000,12
DiskQueryRelay.tasksRequested,1778595396594000000,1778595410205000000,256
parser.JAVA.size.bytes,1778595396594000000,1778595410205000000,8006
compiler.ArtifactManagerBridge.initBridges.ms,1778595396594000000,1778595410205000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1778595396594000000,1778595410205000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1778595396594000000,1778595410205000000,2
compiler.ArtifactManagerBridge.findArtifact.ms,1778595396594000000,1778595410205000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1778595396594000000,1778595410205000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1778595396594000000,1778595410205000000,0
compiler.ArtifactManagerBridge.commit.ms,1778595396594000000,1778595410205000000,0
Indexes.stubs.lookupDurationMaxMs,1778595396594000000,1778595410205000000,0.0
Indexing.writer_1.totalTimeSpentWritingMs,1778595396594000000,1778595410205000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1778595396594000000,1778595410205000000,0
Indexes.entries.lookupDurationMaxMs,1778595396594000000,1778595410205000000,0.0
Indexing.writesQueuedMax,1778595396594000000,1778595410205000000,0
Indexes.allKeys.lookups,1778595396594000000,1778595410205000000,0
Indexing.cache.totalCacheMisses,1778595396594000000,1778595410205000000,1143
Indexes.allKeys.lookupDurationMaxMs,1778595396594000000,1778595410205000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1778595396594000000,1778595410205000000,0
Indexes.stubs.lookups,1778595396594000000,1778595410205000000,1813
Indexing.cache.totalCacheEvicted,1778595396594000000,1778595410205000000,1143
Indexes.stubs.lookupDuration90PMs,1778595396594000000,1778595410205000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1778595396594000000,1778595410205000000,0.0
Indexing.writesQueuedMin,1778595396594000000,1778595410205000000,9223372036854775807
Indexing.totalTimeIndexersSleptMs,1778595396594000000,1778595410205000000,0
Indexes.entries.lookupDuration90PMs,1778595396594000000,1778595410205000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1778595396594000000,1778595410205000000,0
Indexes.allKeys.lookupDuration90PMs,1778595396594000000,1778595410205000000,0.0
Indexes.entries.lookupDurationAvgMs,1778595396594000000,1778595410205000000,0.0
Indexes.stubs.lookupDurationAvgMs,1778595396594000000,1778595410205000000,0.0
Indexes.entries.lookups,1778595396594000000,1778595410205000000,54
