# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.get.counter,1777468198052000000,1777468230954000000,2
cacheStateStorage.set.duration,1777468198052000000,1777468230954000000,7
cacheStateStorage.set.counter,1777468198052000000,1777468230954000000,1
cacheStateStorage.get.duration,1777468198052000000,1777468230954000000,0
AWTEventQueue.dispatchTimeTotalNS,1777468198052000000,1777468230954000000,1957703552
Indexing.writer_0.totalTimeSpentWritingMs,1777468198052000000,1777468230954000000,0
Indexing.writesQueuedMin,1777468198052000000,1777468230954000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1777468198052000000,1777468230954000000,0
Indexing.cache.totalCacheEvicted,1777468198052000000,1777468230954000000,0
Indexing.writesQueuedAvg,1777468198052000000,1777468230954000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1777468198052000000,1777468230954000000,0
Indexing.writesQueuedMax,1777468198052000000,1777468230954000000,0
Indexing.cache.totalCacheMisses,1777468198052000000,1777468230954000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1777468198052000000,1777468230954000000,0
Indexing.totalTimeIndexersSleptMs,1777468198052000000,1777468230954000000,0
Indexing.cache.totalCacheAccesses,1777468198052000000,1777468230954000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1777468198052000000,1777468230954000000,0
workspaceModel.save.cache.to.file.ms,1777468198052000000,1777468230954000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1777468198052000000,1777468230954000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1777468198052000000,1777468230954000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1777468198052000000,1777468230954000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1777468198052000000,1777468230954000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1777468198052000000,1777468230954000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1777468198052000000,1777468230954000000,0
jps.global.handle.changed.events.ms,1777468198052000000,1777468230954000000,0
jps.library.entities.serializer.save.entities.ms,1777468198052000000,1777468230954000000,0
jps.save.global.entities.ms,1777468198052000000,1777468230954000000,35
jps.global.initialize.library.bridges.after.loading.ms,1777468198052000000,1777468230954000000,1
workspaceModel.load.cache.from.file.ms,1777468198052000000,1777468230954000000,1
workspaceModel.mutableEntityStorage.entities.ms,1777468198052000000,1777468230954000000,1
jps.app.storage.content.reader.load.component.ms,1777468198052000000,1777468230954000000,1
workspaceModel.mutableEntityStorage.entities.by.source.ms,1777468198052000000,1777468230954000000,0
jps.global.get.library.by.name.ms,1777468198052000000,1777468230954000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1777468198052000000,1777468230954000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1777468198052000000,1777468230954000000,0
jps.global.initialize.library.bridges.ms,1777468198052000000,1777468230954000000,0
workspaceModel.sync.entities.ms,1777468198052000000,1777468230954000000,0
jps.global.get.library.ms,1777468198052000000,1777468230954000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1777468198052000000,1777468230954000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1777468198052000000,1777468230954000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1777468198052000000,1777468230954000000,0
workspaceModel.global.apply.state.to.project.ms,1777468198052000000,1777468230954000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1777468198052000000,1777468230954000000,0
workspaceModel.load.cache.metadata.from.file.ms,1777468198052000000,1777468230954000000,0
jps.app.storage.content.writer.save.component.ms,1777468198052000000,1777468230954000000,1
jps.global.get.libraries.ms,1777468198052000000,1777468230954000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1777468198052000000,1777468230954000000,0
workspaceModel.mutableEntityStorage.instances.count,1777468198052000000,1777468230954000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1777468198052000000,1777468230954000000,0
jps.load.initial.state.ms,1777468198052000000,1777468230954000000,11
workspaceModel.global.updates.count,1777468198052000000,1777468230954000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1777468198052000000,1777468230954000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1777468198052000000,1777468230954000000,0
jps.library.entities.serializer.load.entities.ms,1777468198052000000,1777468230954000000,0
workspaceModel.global.updates.ms,1777468198052000000,1777468230954000000,0
jps.global.handle.before.change.events.ms,1777468198052000000,1777468230954000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1777468198052000000,1777468230954000000,0
writeAction.median.wait.ms,1777468198052000000,1777468230954000000,0
writeAction.wait.ms,1777468198052000000,1777468230954000000,0
writeAction.max.wait.ms,1777468198052000000,1777468230954000000,0
DiskQueryRelay.tasksExecuted,1777468198052000000,1777468230954000000,104
writeAction.count,1777468198052000000,1777468230954000000,1
DiskQueryRelay.taskExecutionTotalTimeUs,1777468198052000000,1777468230954000000,2275294
DiskQueryRelay.tasksRequested,1777468198052000000,1777468230954000000,104
DiskQueryRelay.taskWaitingTotalTimeUs,1777468198052000000,1777468230954000000,2311954
FileChannelInterruptsRetryer.totalRetriedAttempts,1777468198052000000,1777468230954000000,0
FilePageCache.pageLoads,1777468198052000000,1777468230954000000,193
FilePageCache.totalPageDisposalsUs,1777468198052000000,1777468230954000000,218
FilePageCache.pageFastCacheHits,1777468198052000000,1777468230954000000,13129
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1777468198052000000,1777468230954000000,41959424
FilePageCache.maxCacheSizeInBytes,1777468198052000000,1777468230954000000,195051520
DirectByteBufferAllocator.misses,1777468198052000000,1777468230954000000,188
StorageLockContext.competingThreads.90P,1777468198052000000,1777468230954000000,0
FilePageCache.pageHits,1777468198052000000,1777468230954000000,0
FilePageCache.maxRegisteredFiles,1777468198052000000,1777468230954000000,520
FilePageCache.disposedBuffers,1777468198052000000,1777468230954000000,193
FilePageCache.uncachedFileAccess,1777468198052000000,1777468230954000000,336
FilePageCache.totalPageLoadsUs,1777468198052000000,1777468230954000000,60922
DirectByteBufferAllocator.disposed,1777468198052000000,1777468230954000000,146
DirectByteBufferAllocator.hits,1777468198052000000,1777468230954000000,5
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1777468198052000000,1777468230954000000,41959424
StorageLockContext.competingThreads.avg,1777468198052000000,1777468230954000000,0.0
FilePageCache.pageLoadsAboveSizeThreshold,1777468198052000000,1777468230954000000,0
DirectByteBufferAllocator.reclaimed,1777468198052000000,1777468230954000000,47
StorageLockContext.competingThreads.max,1777468198052000000,1777468230954000000,0
FilePageCache.capacityInBytes,1777468198052000000,1777468230954000000,629145600
VFS.fileByIdCache.misses,1777468198052000000,1777468230954000000,0
VFS.invertedFileNameIndex.requests,1777468198052000000,1777468230954000000,0
VFS.fileByIdCache.hits,1777468198052000000,1777468230954000000,0
VFS.fileChildByName,1777468198052000000,1777468230954000000,153
rdct.CountingByteChannel.writeBytesRate.project.2,1777468198052000000,1777468230954000000,2828672
