# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.set.counter,1777468209899000000,1777468232362000000,1
cacheStateStorage.get.counter,1777468209899000000,1777468232362000000,2
cacheStateStorage.set.duration,1777468209899000000,1777468232362000000,2
cacheStateStorage.get.duration,1777468209899000000,1777468232362000000,0
AWTEventQueue.dispatchTimeTotalNS,1777468209899000000,1777468232362000000,996949532
rdct.TransportWrapperImpl.receivedFrames.project.1,1777468209899000000,1777468232362000000,2460
rdct.CountingByteChannel.readBytesRate.project.1,1777468209899000000,1777468232362000000,2828672
rdct.CountingByteChannel.writeBytesRate.project.1,1777468209899000000,1777468232362000000,73703
workspaceModel.mutableEntityStorage.collect.changes.ms,1777468209899000000,1777468232362000000,0
workspaceModel.mutableEntityStorage.entities.ms,1777468209899000000,1777468232362000000,1
workspaceModel.mutableEntityStorage.modify.entity.ms,1777468209899000000,1777468232362000000,0
jps.global.get.libraries.ms,1777468209899000000,1777468232362000000,0
jps.library.entities.serializer.save.entities.ms,1777468209899000000,1777468232362000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1777468209899000000,1777468232362000000,0
jps.global.get.library.ms,1777468209899000000,1777468232362000000,0
jps.global.handle.before.change.events.ms,1777468209899000000,1777468232362000000,0
jps.global.get.library.by.name.ms,1777468209899000000,1777468232362000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1777468209899000000,1777468232362000000,0
workspaceModel.load.cache.metadata.from.file.ms,1777468209899000000,1777468232362000000,0
workspaceModel.global.updates.count,1777468209899000000,1777468232362000000,0
jps.app.storage.content.writer.save.component.ms,1777468209899000000,1777468232362000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1777468209899000000,1777468232362000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1777468209899000000,1777468232362000000,0
jps.global.handle.changed.events.ms,1777468209899000000,1777468232362000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1777468209899000000,1777468232362000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1777468209899000000,1777468232362000000,0
workspaceModel.global.apply.state.to.project.ms,1777468209899000000,1777468232362000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1777468209899000000,1777468232362000000,0
jps.global.initialize.library.bridges.ms,1777468209899000000,1777468232362000000,0
workspaceModel.load.cache.from.file.ms,1777468209899000000,1777468232362000000,0
jps.app.storage.content.reader.load.component.ms,1777468209899000000,1777468232362000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1777468209899000000,1777468232362000000,0
workspaceModel.save.cache.to.file.ms,1777468209899000000,1777468232362000000,0
workspaceModel.mutableEntityStorage.instances.count,1777468209899000000,1777468232362000000,1
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1777468209899000000,1777468232362000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1777468209899000000,1777468232362000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1777468209899000000,1777468232362000000,0
workspaceModel.global.updates.ms,1777468209899000000,1777468232362000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1777468209899000000,1777468232362000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1777468209899000000,1777468232362000000,0
jps.load.initial.state.ms,1777468209899000000,1777468232362000000,7
workspaceModel.mutableEntityStorage.entities.by.source.ms,1777468209899000000,1777468232362000000,0
jps.save.global.entities.ms,1777468209899000000,1777468232362000000,31
workspaceModel.sync.entities.ms,1777468209899000000,1777468232362000000,0
jps.library.entities.serializer.load.entities.ms,1777468209899000000,1777468232362000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1777468209899000000,1777468232362000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1777468209899000000,1777468232362000000,0
jps.global.initialize.library.bridges.after.loading.ms,1777468209899000000,1777468232362000000,1
workspaceModel.mutableEntityStorage.referrers.ms,1777468209899000000,1777468232362000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1777468209899000000,1777468232362000000,1392
DiskQueryRelay.taskWaitingTotalTimeUs,1777468209899000000,1777468232362000000,8513
DiskQueryRelay.tasksRequested,1777468209899000000,1777468232362000000,22
DiskQueryRelay.tasksExecuted,1777468209899000000,1777468232362000000,22
lux.LuxRendererStatistics.Operation_batch_flushes.calls,1777468209899000000,1777468232362000000,105
lux.LuxRendererStatistics.LxDrawShapeCommand.size,1777468209899000000,1777468232362000000,200
lux.LuxRendererStatistics.LxTransformStateChange.size,1777468209899000000,1777468232362000000,13338
lux.LuxRendererStatistics.LxRoundRectShape.calls,1777468209899000000,1777468232362000000,274
lux.LuxRendererStatistics.LxFontStateChange.size,1777468209899000000,1777468232362000000,154
lux.LuxRendererStatistics.LxRectShape.calls,1777468209899000000,1777468232362000000,1827
lux.LuxRendererStatistics.LxCacheableImage.calls,1777468209899000000,1777468232362000000,145
lux.LuxRendererStatistics.LxCachedImage.size,1777468209899000000,1777468232362000000,1035
lux.LuxRendererStatistics.LxDrawTextCommand.calls,1777468209899000000,1777468232362000000,662
lux.LuxRendererStatistics.LxDrawImageCommand.size,1777468209899000000,1777468232362000000,85162
lux.LuxRendererStatistics.LxFontStateChange.calls,1777468209899000000,1777468232362000000,154
lux.LuxRendererStatistics.LxPaintStateChange.calls,1777468209899000000,1777468232362000000,1184
lux.LuxRendererStatistics.LxEllipseShape.size,1777468209899000000,1777468232362000000,80
lux.LuxRendererStatistics.Operation_batch_flushes.size,1777468209899000000,1777468232362000000,2675
lux.LuxRendererStatistics.LxBackgroundColorStateChange.size,1777468209899000000,1777468232362000000,3
lux.LuxRendererStatistics.LxAliasingStateChange.size,1777468209899000000,1777468232362000000,3
lux.LuxRendererStatistics.LxPathShape.size,1777468209899000000,1777468232362000000,16870
lux.LuxRendererStatistics.LxRoundRectShape.size,1777468209899000000,1777468232362000000,1644
lux.LuxRendererStatistics.LxTransformStateChange.calls,1777468209899000000,1777468232362000000,2223
lux.LuxRendererStatistics.LxFillShapeCommand.calls,1777468209899000000,1777468232362000000,783
lux.LuxRendererStatistics.LxClipStateChange.size,1777468209899000000,1777468232362000000,5816
lux.LuxRendererStatistics.LxDrawShapeCommand.calls,1777468209899000000,1777468232362000000,50
lux.LuxRendererStatistics.LxPathShape.calls,1777468209899000000,1777468232362000000,166
lux.LuxRendererStatistics.LxRectShape.size,1777468209899000000,1777468232362000000,7308
lux.LuxRendererStatistics.LxEllipseShape.calls,1777468209899000000,1777468232362000000,20
lux.LuxRendererStatistics.LxCacheableImage.size,1777468209899000000,1777468232362000000,84127
lux.LuxRendererStatistics.State_Changes.size,1777468209899000000,1777468232362000000,20498
lux.LuxRendererStatistics.LxFillShapeCommand.size,1777468209899000000,1777468232362000000,19886
lux.LuxRendererStatistics.LxPaintStateChange.size,1777468209899000000,1777468232362000000,1184
lux.LuxRendererStatistics.LxClipStateChange.calls,1777468209899000000,1777468232362000000,1454
lux.LuxRendererStatistics.State_Changes.calls,1777468209899000000,1777468232362000000,5021
lux.LuxRendererStatistics.LxCachedImage.calls,1777468209899000000,1777468232362000000,1035
lux.LuxRendererStatistics.LxBackgroundColorStateChange.calls,1777468209899000000,1777468232362000000,3
lux.LuxRendererStatistics.Draw_Commands_List.calls,1777468209899000000,1777468232362000000,2675
lux.LuxRendererStatistics.LxDrawImageCommand.calls,1777468209899000000,1777468232362000000,1180
lux.LuxRendererStatistics.Draw_Commands_List.size,1777468209899000000,1777468232362000000,133971
lux.LuxRendererStatistics.LxAliasingStateChange.calls,1777468209899000000,1777468232362000000,3
lux.LuxRendererStatistics.LxDrawTextCommand.size,1777468209899000000,1777468232362000000,8225
DirectByteBufferAllocator.reclaimed,1777468209899000000,1777468232362000000,1
FilePageCache.totalPageLoadsUs,1777468209899000000,1777468232362000000,14424
FilePageCache.totalPageDisposalsUs,1777468209899000000,1777468232362000000,11
FileChannelInterruptsRetryer.totalRetriedAttempts,1777468209899000000,1777468232362000000,0
DirectByteBufferAllocator.hits,1777468209899000000,1777468232362000000,0
FilePageCache.pageLoads,1777468209899000000,1777468232362000000,1
FilePageCache.uncachedFileAccess,1777468209899000000,1777468232362000000,3
FilePageCache.pageHits,1777468209899000000,1777468232362000000,0
FilePageCache.capacityInBytes,1777468209899000000,1777468232362000000,629145600
FilePageCache.disposedBuffers,1777468209899000000,1777468232362000000,1
StorageLockContext.competingThreads.max,1777468209899000000,1777468232362000000,0
FilePageCache.pageFastCacheHits,1777468209899000000,1777468232362000000,68
DirectByteBufferAllocator.disposed,1777468209899000000,1777468232362000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1777468209899000000,1777468232362000000,1048576
StorageLockContext.competingThreads.90P,1777468209899000000,1777468232362000000,0
FilePageCache.maxRegisteredFiles,1777468209899000000,1777468232362000000,3
FilePageCache.maxCacheSizeInBytes,1777468209899000000,1777468232362000000,1048576
FilePageCache.pageLoadsAboveSizeThreshold,1777468209899000000,1777468232362000000,0
StorageLockContext.competingThreads.avg,1777468209899000000,1777468232362000000,0.0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1777468209899000000,1777468232362000000,1048576
DirectByteBufferAllocator.misses,1777468209899000000,1777468232362000000,1
workspaceModel.entityStorageSnapshotImpl.instances.count,1777468209899000000,1777468232362000000,2
Indexing.writer_1.totalTimeSpentWritingMs,1777468209899000000,1777468232362000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1777468209899000000,1777468232362000000,0
Indexing.writesQueuedMin,1777468209899000000,1777468232362000000,0
Indexing.cache.totalCacheEvicted,1777468209899000000,1777468232362000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1777468209899000000,1777468232362000000,0
Indexing.cache.totalCacheMisses,1777468209899000000,1777468232362000000,0
Indexing.cache.totalCacheAccesses,1777468209899000000,1777468232362000000,0
Indexing.writesQueuedMax,1777468209899000000,1777468232362000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1777468209899000000,1777468232362000000,0
Indexing.totalTimeIndexersSleptMs,1777468209899000000,1777468232362000000,0
Indexing.writesQueuedAvg,1777468209899000000,1777468232362000000,0.0
VFS.fileChildByName,1777468209899000000,1777468232362000000,11
VFS.fileByIdCache.hits,1777468209899000000,1777468232362000000,0
VFS.invertedFileNameIndex.requests,1777468209899000000,1777468232362000000,0
VFS.fileByIdCache.misses,1777468209899000000,1777468232362000000,0
